Table 1
Mortgage payments,John and holly,"6,257.88"
utilties,NFTC (internet/tv,$697.42
,HYDRO  DOME,$199.51
,HYDRO acc 7908 (motel),"$1,422.25"
,HYDRO acc 7504 (house),$695.30
,KELLYS PROPANE MONITOR,
,KELLYS PROPANE,"$1,000.25"
,KELLYS PROPANE- DOME,
,RELIANCE,
,BELL,$282.39
,BELL TOLL FREE,
,Lakeviewcell phone,
,,
housekeeping,independent clean prod\grocery,$571.36
,food land,
,national sanitisation,"$1,430.22"
,True North Hospitality,$220.21
,imperial coffee,
,sysco laudry detergent,
,,
Maintainence,BIG HANDS CONTRACT,"$1,695.00"
,Applicance - dryer/waher,$337.87
,snow blower repair,
,wilson pool,$480.25
,Happy Trils  snow groom,
,R W Renovations,
,elstone property maint,
,hardwood giant,
,maple concrete sealant,"$2,000.10"
,floor it wood flooring,
,Hot Tub repair,
,Jim Winn phoe line,$130.00
,pest control,$146.90
,concrete pool level,
,weed control,
,AA property maintainence,
,SHAWN PLUMBER,
,KELLY HATTON SNOW,
,webster grass cutting,
,canadian appliance,
,HOME HARDWARE,$176.16
,tailors choice oakville,
,SHARP ELECTRIC,$175.86
,DR Handy man ( dave ),
,menu in room wood,
,emerson lumber,
,walkers heating,$180.80
,haliburton lanfill,
,TimberMart,$33.49
,HOME DEPOT,
,CANAN GARDENS,
,FRESHCO,
,county signs,$167.74
,country rose flowers,
,PUMP SHOP,$453.25
,,
TRUCK EXPENSE,TRUCK registeration,
,insurance,
,,
,GAS,$365.37
,majestic auto wash,
,Pearson parking,
,truck repair,
,407 ETR hansa/jag/harsha,$105.60
BOOKING ADMIN and  PMS,BOOKING.COM,$242.36
,EXPEDIA,$480.46
,cloudbeds,$374.40
,google workspace,$42.31
,CLOVER,$93.70
PROPERTY LAKEVIEW,Property tax,"2,514.49"
,Commercial taxes emptx,"$3,338.34"
,Commercial taxes GST,"$10,200.00"
,COMMERCIAL taxins,
,insurance - aligned,"1,512.72"
,Insurance MO ( Liabilty),
,WSIB,114.00
Other,cheques costco,
,costco,$590.65
,divine accountant corp,
,multivisions,$135.60
,ETSY,
,hostpapa,
,michaels,
,rack cards,
,apple,
,ACM Designs,
,DOntation ( places people,
,IKEA,
,christina bucci - postcard,
,Glecoffs,
,shoppers drug mart,
,rexall pharmacy,
,tim hortons,
,highland pharmacy,
,roasty campfire,
,flat design,
,Dollarama,
,Thrift,
,hook line sinker,
,AMAZON,
,BEST BUY,
,smartglass,
,tim hortons,
,fire safety check report,
,fire starter quick wick,
,CANADIAN TIRE,
,WALMART,
,STAPLES,
,abbey gardens - pizza,
,DYSON alarm,
,Barry Martin,
,SHAMROCK  SERVICES,
,LCBO,
,Hansa shares sold,"$4,100.00"
,BEER STORE,
,LIQOUR LICENCE REG,
MARKETING,Haliburton curling club,
,photography,
,chambers of commerce,
,Highlander,$259.34
,snow mobile association,
,firefighter ad,
,adenture haliburton,
,Studio Tour,
,snow county Advert,
,ARTS council highland,
,cottage country ad,
,highland summer festival,
,county sign,$167.24
,ATV ASSOCIATION,
,Halibton echo,$327.70
TOTAL,,"$43,718.49"
