Table 1
Mortgage payments,John and holly,"6,257.88"
utilties,NFTC (internet/tv,$682.46
,HYDRO  DOME,
,HYDRO acc 7908 (motel),"$2,514.24"
,HYDRO acc 7504 (house),"$1,156.77"
,KELLYS PROPANE,$810.68
,RELIANCE,$138.10
,BELL,$269.55
,BELL TOLL FREE,
,Lakeviewcell phone,$60.00
,,
housekeeping,independent clean prod,
,food land,
,national sanitisation,$426.60
,True North Hospitality,
,imperial coffee,$46.48
,sysco laudry detergent,
,,
Lakeview maintainence,BIG HANDS CONTRACT,"$1,779.75"
,Applicance - dryer/waher,
,snow blower repair,$67.79
,wilson pool,
,Happy Trils  snow groom,$565.00
,R W Renovations,
,hardwood giant,
,floor it wood flooring,
,Hot Tub repair,$347.48
,Jim Winn phoe line,$95.00
,pest control,$146.90
,weed control,
,SHAWN PLUMBER,
,KELLY HATTON SNOW,"$1,882.58"
,webster grass cutting,$776.88
,HOME HARDWARE,"$1,636.21"
,tailors choice oakville,
,SHARP ELECTRIC,
,menu in room wood,$390.85
,emerson lumber,$67.79
,walkers heating,
,haliburton lanfill,
,TimberMart,$71.18
,HOME DEPOT,$130.41
,CANAN GARDENS,
,FRESHCO,
,country rose flowers,
,PUMP SHOP,$162.78
,,
TRUCK EXPENSE,TRUCK registeration,
,insurance,$138.00
,,
,GAS,$330.11
,majestic auto wash,
,Pearson parking,
,truck repair,
,407 ETR hansa/jag/harsha,$59.40
BOOKING ADMIN and  PMS,BOOKING.COM,$71.66
,EXPEDIA,$758.14
,cloudbeds,$374.40
,google workspace,$17.63
,CLOVER,$33.90
PROPERTY LAKEVIEW,Property tax,"2,405.02"
,Commercial taxes emptx,"$3,044.12"
,Commercial taxes GST,
,COMMERCIAL taxins,
,insurance - aligned,"$1,564.52"
,Insurance MO ( Liabilty),
,WSIB,
Other,cheques - costco,
,divine accountant corp,
,multivisions,
,ETSY,
,hostpapa,
,michaels,$42.87
,rack cards,
,apple,
,ACM Designs,
,IKEA,
,christina bucci - postcard,
,Glecoffs,$169.98
,shoppers drug mart,
,rexall pharmacy,
,tim hortons,
,highland pharmacy,
,roasty campfire,
,flat design,$566.02
,Dollarama,
,Thrift,$97.04
,hook line sinker,
,AMAZON,$423.31
,BEST BUY,
,embrioder -wendy,
,tim hortons,
,fire safety check report,258.5
,fire starter quick wick,
,CANADIAN TIRE,167.58
,WALMART,
,abbey gardens - pizza,
,DYSON alarm,
,Barry Martin,93.11
,SHAMROCK  SERVICES,$180.01
,LCBO,$337.85
,BEER STORE,213.55
,LIQOUR LICENCE REG,
MARKETING,Haliburton curling club,
,chambers of commerce,
,Highlander,
,snow mobile association,
,firefighter ad,
,adenture haliburton,
,Studio Tour,
,snow county Advert,
,ARTS council highland,
,cottage country ad,$452.00
,highland summer festival,
,county sign,
,ATV ASSOCIATION,
,Halibton echo,
TOTAL,,"$26,024.20"
,,
