Table 1
Mortgage payments,John and holly,"6,257.88"
utilties,NFTC (internet/tv,$674.47
,HYDRO  DOME,$61.67
,HYDRO acc 7908 (motel),"$2,042.64"
,HYDRO acc 7504 (house),$703.35
,KELLYS PROPANE,$790.41
,RELIANCE,118.63
,BELL,$269.55
,BELL TOLL FREE,$36.23
,Lakeviewcell phone,$69.50
,,
housekeeping,independent clean prod,
,food land,
,national sanitisation,$648.69
,True North Hospitality,
,imperial coffee,
,sysco laudry detergent,
,,
Lakeview maintainence,BIG HANDS CONTRACT,
,Applicance - dryer/waher,
,snow blower repair,
,wilson pool,
,Happy Trils  snow groom,
,R W Renovations,
,hardwood giant,
,floor it wood flooring,
,Hot Tub repair,
,Jim Winn phoe line,
,pest control,$146.90
,weed control,
,SHAWN PLUMBER,
,KELLY HATTON SNOW,$665.57
,webster grass cutting,
,HOME HARDWARE,$244.44
,tailors choice oakville,
,SHARP ELECTRIC,$918.97
,menu in room wood,
,emerson lumber,
,walkers heating,
,haliburton lanfill,
,TimberMart,
,HOME DEPOT,
,CANAN GARDENS,
,FRESHCO,$108.46
,country rose flowers,
,PUMP SHOP,$12.42
,,
TRUCK EXPENSE,TRUCK registeration,
,insurance,
,,
,GAS,$359.20
,majestic auto wash,$96.05
,Pearson parking,$56.60
,truck repair,
,407 ETR hansa/jag/harsha,$10.02
BOOKING ADMIN and  PMS,BOOKING.COM,$30.23
,EXPEDIA,
,cloudbeds,$374.40
,google workspace,$35.26
,CLOVER,$33.90
PROPERTY LAKEVIEW,Property tax,"2,549.37"
,Commercial taxes emptx,"$3,601.39"
,Commercial taxes GST,"$12,000.00"
,COMMERCIAL taxins,"$4,000.00"
,insurance - aligned,"1,512.72"
,Insurance MO ( Liabilty),
,WSIB,
Other,cheques - costco,
,divine accountant corp,"$5,246.00"
,multivisions,
,ETSY,
,hostpapa,
,michaels,
,rack cards,
,apple,
,ACM Designs,
,IKEA,$95.98
,christina bucci - postcard,
,Glecoffs,
,shoppers drug mart,
,rexall pharmacy,
,tim hortons,
,highland pharmacy,
,roasty campfire,
,flat design,
,Dollarama,
,Thrift,
,hook line sinker,
,AMAZON,
,BEST BUY,
,embrioder -wendy,
,tim hortons,
,fire safety check report,
,fire starter quick wick,
,CANADIAN TIRE,
,WALMART,
,abbey gardens - pizza,
,DYSON alarm,
,Barry Martin,
,SHAMROCK  SERVICES,
,LCBO,
,BEER STORE,
,LIQOUR LICENCE REG,
MARKETING,Haliburton curling club,
,chambers of commerce,$409.06
,Highlander,
,snow mobile association,
,firefighter ad,
,adenture haliburton,
,Studio Tour,
,snow county Advert,
,ARTS council highland,
,cottage country ad,$395.50
,highland summer festival,
,county sign,
,ATV ASSOCIATION,$361.60
,Halibton echo,$988.75
TOTAL,,"$39,667.93"
,,
