Table 1
Mortgage payments,John and holly,"6,257.88"
utilties,NFTC (internet/tv,$697.42
,HYDRO  DOME,
,HYDRO acc 7908 (motel),$772.10
,HYDRO acc 7504 (house),$38.76
,KELLYS PROPANE MONITOR,
,KELLYS PROPANE,$396.28
,KELLYS PROPANE- DOME,
,RELIANCE,139.08
,BELL,$282.39
,BELL TOLL FREE,
,Lakeviewcell phone,
,,
housekeeping,independent clean prod\grocery,$791.65
,food land,
,national sanitisation,$157.30
,True North Hospitality,
,imperial coffee,$181.19
,sysco laudry detergent,$955.38
,,
Maintainence,BIG HANDS CONTRACT,"$1,700.00"
,Applicance - dryer/waher,$248.60
,snow blower repair,
,wilson pool,
,Happy Trils  snow groom,
,R W Renovations,
,elstone property maint,
,hardwood giant,
,maple concrete sealant,
,floor it wood flooring,
,Hot Tub repair,
,Jim Winn phoe line,
,pest control,$146.80
,concrete pool level,"$6,483.94"
,weed control,
,AA property maintainence,
,SHAWN PLUMBER,
,KELLY HATTON SNOW,
,webster grass cutting,
,canadian appliance,"$3,216.21"
,HOME HARDWARE,$874.32
,tailors choice oakville,
,SHARP ELECTRIC,
,DR Handy man ( dave ),
,menu in room wood,
,emerson lumber,
,walkers heating,
,haliburton lanfill,
,TimberMart,
,HOME DEPOT,$410.37
,CANAN GARDENS,$372.90
,FRESHCO,
,county signs,
,country rose flowers,
,PUMP SHOP,$518.66
,,
TRUCK EXPENSE,TRUCK registeration,
,insurance,
,,
,GAS,$236.31
,majestic auto wash,
,Pearson parking,
,truck repair,
,407 ETR hansa/jag/harsha,$268.31
BOOKING ADMIN and  PMS,BOOKING.COM,$340.36
,EXPEDIA,"$1,207.50"
,cloudbeds,$374.40
,google workspace,$42.31
,CLOVER,$56.82
PROPERTY LAKEVIEW,Property tax,"2,514.49"
,Commercial taxes emptx,"$4,044.01"
,Commercial taxes GST,
,COMMERCIAL taxins,
,insurance - aligned,"1,512.75"
,Insurance MO ( Liabilty),
,WSIB,
Other,cheques costco,
,costco,
,divine accountant corp,
,multivisions,
,ETSY,
,hostpapa,
,michaels,
,rack cards,$81.35
,apple,
,ACM Designs,$100.00
,DOntation ( places people,
,IKEA,
,christina bucci - postcard,
,Glecoffs,
,shoppers drug mart,
,rexall pharmacy,
,tim hortons,
,highland pharmacy,
,roasty campfire,
,flat design,
,Dollarama,
,Thrift,$21.47
,hook line sinker,
,AMAZON,$158.21
,BEST BUY,
,smartglass,
,tim hortons,
,fire safety check report,
,fire starter quick wick,
,CANADIAN TIRE,$304.92
,WALMART,
,STAPLES,
,abbey gardens - pizza,
,DYSON alarm,
,Barry Martin,
,SHAMROCK  SERVICES,
,LCBO,
,Hansa shares sold,"$45,900.00"
,BEER STORE,
,LIQOUR LICENCE REG,
MARKETING,Haliburton curling club,
,photography,$600.00
,chambers of commerce,
,Highlander,$563.87
,snow mobile association,
,firefighter ad,$169.50
,adenture haliburton,
,Studio Tour,
,snow county Advert,
,ARTS council highland,
,cottage country ad,
,highland summer festival,
,county sign,
,ATV ASSOCIATION,
,Halibton echo,
TOTAL,,"$83,137.81"
