Table 1
Mortgage ,John/Holly,"$6,257.88"
utilties,NFTC (internet/tv,$684.46
,HYDRO acc 7908 (motel),$954.43
,HYDRO acc 7504 (house),$679.04
,KELLYS PROPANE,$440.79
,RELIANCE,
,BELL,$654.58
,BELL TOLL FREE,$33.10
,Clover,$33.90
,Lakevie cell phone,$60.00
,,
housekeeping,independent,
,national sanitisation,
,True North Hospitality,
,imperial coffee,$236.48
,sysco laudry detergent,
,sun linen bedding,
,shoppers drug mart,
,costco,
,,
Lakeview maintainence,BIG HANDS CONTRACT,$395.50
,Applicance - dryer/waher,
,country rose flower Hali,$124.30
,CANAN flowers,$112.98
,Flowers(oakville),$320.00
,hot tub sign,
,Wilson pool,
,Walkers Heating,$477.99
,Happy Trails  snow groom,
,Jim Winn phone line,
,tree cutting,
,Lawn mower purchase,
,Pest Control,$146.90
,weed control,$565.00
,SHAWN PLUMBER,$300.00
,webster grass cutting,"$1,002.88"
,canadian tire,
,Lowes,
,HOME HARDWARE,$573.88
,SHARP ELECTRIC,
,Timber Mart,$204.73
,HOME DEPOT,$535.24
,PUMP SHOP,$86.23
,,
TRUCK EXPENSE,TRUCK registeration,
,insurance,$138.00
,GAS HANSA,
,GAS HARSHA,
,GAS - JAG,
,,
,truck repair,
,407 ETR,34.1
BOOKING ADMIN and  PMS,BOOKING.COM,348.63
,EXPEDIA,$477.11
,cloudbeds,$374.40
GOOGLE,workspace,
PROPERTY LAKEVIEW,Property tax,"$2,328.57"
taxes,commercial,"$3,109.35"
WSIB,,
,insurance,"1,564.52"
,,
Other,costco,$625.45
,divine accountant corp,
,HR BLOCK,
,alqounquin outfitters,
,michaels,
,Printer INK,$118.65
,LCBO,$68.40
,Beer Store,$291.80
,boshkung brewery,
,AMAZON,
,VALUE VILLAGE,
,Drone photo,
,WOW deal store,$222.85
,DOLLAR STORE,$80.23
,DYSON alarm,
,john previous owner,
,SHAMROCK  SERVICES,$60.00
,hot tub kent hansen,
,LIQOUR LICENCE REG,
MARKETING,Haliburton curling club,
,country sign,
,chambers of commerce,
,Fire fighters AD,
,snow mobile association,
,snow county Advert,
,ARTS council highland,
,Huskies AD,
,Halibton echo,
TOTAL,,"$18,464.47"
