2023-06
Table 1,,
Mortgage payments,John and holly,"6,257.88"
utilties,NFTC (internet/tv,$682.46
,HYDRO  DOME,
,HYDRO acc 7908 (motel),"$1,314.55"
,HYDRO acc 7504 (house),$836.76
,KELLYS PROPANE,$74.27
,RELIANCE,130.9
,BELL,$276.62
,BELL TOLL FREE,$36.23
,Lakeviewcell phone,$60.00
,,
housekeeping,independent clean prod,
,food land,
,national sanitisation,
,True North Hospitality,$483.34
,imperial coffee,
,sysco laudry detergent,
,,
Lakeview maintainence,BIG HANDS CONTRACT,
,Applicance - dryer/waher,
,snow blower repair,
,wilson pool,
,Happy Trils  snow groom,
,R W Renovations,
,hardwood giant,
,floor it wood flooring,
,Hot Tub repair,
,Jim Winn phoe line,
,pest control,$587.60
,weed control,
,SHAWN PLUMBER,
,KELLY HATTON SNOW,
,webster grass cutting,
,HOME HARDWARE,"$1,322.46"
,tailors choice oakville,
,SHARP ELECTRIC,
,menu in room wood,
,emerson lumber,
,walkers heating,
,haliburton lanfill,
,TimberMart,$74.50
,HOME DEPOT,"$2,370.74"
,CANAN GARDENS,
,FRESHCO,
,country rose flowers,$422.29
,PUMP SHOP,
,,
TRUCK EXPENSE,TRUCK registeration,
,insurance,$138.00
,,
,GAS,$201.36
,majestic auto wash,
,Pearson parking,
,truck repair,$854.25
,407 ETR hansa/jag/harsha,$31.69
BOOKING ADMIN and  PMS,BOOKING.COM,$143.30
,EXPEDIA,$400.03
,cloudbeds,$374.40
,google workspace,$17.63
,CLOVER,$33.90
PROPERTY LAKEVIEW,Property tax,"2,549.37"
,Commercial taxes emptx,"$3,966.35"
,Commercial taxes GST,
,COMMERCIAL taxins,
,insurance - aligned,"1,714.86"
,Insurance MO ( Liabilty),
,WSIB,
Other,cheques - costco,
,divine accountant corp,
,multivisions,
,ETSY,
,hostpapa,
,michaels,
,rack cards,
,apple,
,ACM Designs,
,IKEA,
,christina bucci - postcard,$125.00
,Glecoffs,
,shoppers drug mart,$129.54
,rexall pharmacy,
,tim hortons,
,highland pharmacy,
,roasty campfire,
,flat design,
,Dollarama,
,Thrift,$60.75
,hook line sinker,
,AMAZON,$271.79
,BEST BUY,
,embrioder -wendy,
,tim hortons,
,fire safety check report,
,fire starter quick wick,
,CANADIAN TIRE,
,WALMART,$743.10
,abbey gardens - pizza,$300.00
,DYSON alarm,
,Barry Martin,
,SHAMROCK  SERVICES,
,LCBO,
,BEER STORE,
,LIQOUR LICENCE REG,
MARKETING,Haliburton curling club,
,chambers of commerce,
,Highlander,
,snow mobile association,
,firefighter ad,
,adenture haliburton,
,Studio Tour,
,snow county Advert,
,ARTS council highland,
,cottage country ad,
,highland summer festival,
,county sign,
,ATV ASSOCIATION,
,Halibton echo,
TOTAL,,"$20,728.04"
,,
