Table 1
Mortgage payments,John and holly,"6,257.88"
utilties,NFTC (internet/tv,$682.46
,HYDRO  DOME,
,HYDRO acc 7908 (motel),"$2,506.32"
,HYDRO acc 7504 (house),"$1,173.30"
,KELLYS PROPANE,1245.3
,RELIANCE,100.66
,BELL,$269.55
,BELL TOLL FREE,$24.94
,Lakeviewcell phone,$60.00
,,
housekeeping,independent clean prod,94.88
,food land,169.39
,national sanitisation,
,True North Hospitality,
,imperial coffee,
,sysco laudry detergent,
,,
Lakeview maintainence,BIG HANDS CONTRACT,678
,Applicance - dryer/waher,150.23
,snow blower repair,
,wilson pool,
,Happy Trils  snow groom,
,R W Renovations,
,hardwood giant,"$3,243.05"
,floor it wood flooring,"2,385.80"
,Hot Tub repair,
,Jim Winn phoe line,
,pest control,$146.90
,weed control,
,SHAWN PLUMBER,
,KELLY HATTON SNOW,"1,003.44"
,webster grass cutting,
,HOME HARDWARE,"$2,783.13"
,tailors choice oakville,
,SHARP ELECTRIC,
,menu in room wood,
,emerson lumber,
,walkers heating,
,haliburton lanfill,$45.00
,TimberMart,$40.57
,HOME DEPOT,
,CANAN GARDENS,
,FRESHCO,
,country rose flowers,
,PUMP SHOP,$468.43
,,
TRUCK EXPENSE,TRUCK registeration,
,insurance,$138.00
,,
,GAS,$492.21
,majestic auto wash,$67.80
,Pearson parking,
,truck repair,
,407 ETR hansa/jag/harsha,$39.99
BOOKING ADMIN and  PMS,BOOKING.COM,$142.70
,EXPEDIA,$405.52
,cloudbeds,$374.40
,google workspace,$17.63
,CLOVER,$33.90
PROPERTY LAKEVIEW,Property tax,"2,405.02"
,Commercial taxes emptx,"3,425.87"
,Commercial taxes GST,
,COMMERCIAL taxins,
,insurance - aligned,"1,714.86"
,Insurance MO ( Liabilty),
,WSIB,
Other,cheques - costco,
,divine accountant corp,
,multivisions,
,ETSY,
,hostpapa,
,michaels,
,rack cards,
,apple,
,ACM Designs,847.5
,IKEA,
,christina bucci - postcard,
,Glecoffs,
,shoppers drug mart,
,rexall pharmacy,
,tim hortons,
,highland pharmacy,
,roasty campfire,
,flat design,
,Dollarama,
,Thrift,
,hook line sinker,
,AMAZON,$176.00
,BEST BUY,
,embrioder -wendy,$180.39
,tim hortons,$19.97
,fire safety check report,
,fire starter quick wick,
,CANADIAN TIRE,
,WALMART,
,abbey gardens - pizza,
,DYSON alarm,
,Barry Martin,
,SHAMROCK  SERVICES,
,LCBO,
,BEER STORE,225.95
,LIQOUR LICENCE REG,
MARKETING,Haliburton curling club,
,chambers of commerce,$388.16
,Highlander,
,snow mobile association,
,firefighter ad,169.5
,adenture haliburton,
,Studio Tour,
,snow county Advert,
,ARTS council highland,
,cottage country ad,
,highland summer festival,
,county sign,
,ATV ASSOCIATION,
,Halibton echo,
TOTAL,,"$28,536.72"
,,
