Table 1
Mortgage ,John/Holly,"$6,257.88"
utilties,NFTC (internet/tv,$682.46
,HYDRO acc 7908 (motel),"$1,119.92"
,HYDRO acc 7504 (house),$566.34
,KELLYS PROPANE,$912.00
,RELIANCE,$96.80
,BELL,$269.63
,BELL TOLL FREE,"18,23"
,Clover,$33.90
,Lakevie cell phone,$60.00
,,
housekeeping,independent,
,national sanitisation,
,True North Hospitality,
,imperial coffee,
,sysco laudry detergent,
,sun linen bedding,
,shoppers drug mart,
,costco,
,,
Lakeview maintainence,BIG HANDS CONTRACT,
,Applicance - dryer/waher,
,country rose flower Hali,
,CANAN flowers,
,Flowers(oakville),
,hot tub sign,$265.73
,Wilson pool,
,Walkers Heating,
,Happy Trails  snow groom,
,Jim Winn phone line,
,tree cutting,
,Lawn mower purchase,
,Pest Control,$146.90
,weed control,$731.11
,SHAWN PLUMBER,
,webster grass cutting,$579.13
,canadian tire,
,Lowes,
,HOME HARDWARE,
,SHARP ELECTRIC,
,Timber Mart,
,HOME DEPOT,
,PUMP SHOP,"$1,188.77"
,,
TRUCK EXPENSE,TRUCK registeration,
,insurance,$138.00
,GAS HANSA,$97.31
,GAS HARSHA,
,GAS - JAG,
,,
,truck repair,
,407 ETR,$97.68
BOOKING ADMIN and  PMS,BOOKING.COM,$800.31
,EXPEDIA,"$2,021.18"
,cloudbeds,$374.40
GOOGLE,workspace,$17.63
PROPERTY LAKEVIEW,Property tax,"$2,481.48"
taxes,commercial,"$3,355.10"
WSIB,,
,insurance,"1,714.86"
,,
Other,costco,
,divine accountant corp,
,HR BLOCK,
,alqounquin outfitters,
,michaels,
,Printer INK,
,LCBO,
,Beer Store,
,boshkung brewery,
,AMAZON,
,VALUE VILLAGE,
,Drone photo,
,WOW deal store,
,DOLLAR STORE,
,DYSON alarm,
,john previous owner,
,SHAMROCK  SERVICES,
,hot tub kent hansen,
,LIQOUR LICENCE REG,
MARKETING,Haliburton curling club,
,country sign,
,chambers of commerce,
,Fire fighters AD,
,snow mobile association,
,snow county Advert,
,ARTS council highland,
,Huskies AD,
,Halibton echo,
TOTAL,,"$17,750.64"
