Table 1
Mortgage payments,John and holly,"6,257.88"
utilties,NFTC (internet/tv,$684.26
,HYDRO  DOME,
,HYDRO acc 7908 (motel),"$1,038.06"
,HYDRO acc 7504 (house),$953.69
,KELLYS PROPANE,$953.69
,RELIANCE,100.66
,BELL,$293.91
,BELL TOLL FREE,$36.23
,Lakeviewcell phone,$60.00
,,
housekeeping,independent clean prod,$16.95
,food land,
,national sanitisation,$79.47
,True North Hospitality,
,imperial coffee,
,sysco laudry detergent,
,,
Lakeview maintainence,BIG HANDS CONTRACT,
,Applicance - dryer/waher,
,snow blower repair,
,wilson pool,
,Happy Trils  snow groom,
,R W Renovations,
,hardwood giant,
,floor it wood flooring,
,Hot Tub repair,
,Jim Winn phoe line,
,pest control,
,weed control,
,SHAWN PLUMBER,
,KELLY HATTON SNOW,
,webster grass cutting,
,HOME HARDWARE,
,tailors choice oakville,
,SHARP ELECTRIC,
,menu in room wood,
,emerson lumber,
,walkers heating,$98.88
,haliburton lanfill,
,TimberMart,"$1,323.00"
,HOME DEPOT,
,CANAN GARDENS,$575.17
,FRESHCO,
,country rose flowers,$456.26
,PUMP SHOP,$894.13
,,
TRUCK EXPENSE,TRUCK registeration,
,insurance,$138.00
,,
,GAS,$138.89
,majestic auto wash,
,Pearson parking,
,truck repair,
,407 ETR hansa/jag/harsha,$180.00
BOOKING ADMIN and  PMS,BOOKING.COM,$894.13
,EXPEDIA,$522.35
,cloudbeds,$374.40
,google workspace,$17.63
,CLOVER,$33.90
PROPERTY LAKEVIEW,Property tax,"2,405.02"
,Commercial taxes emptx,"$3,586.99"
,Commercial taxes GST,
,COMMERCIAL taxins,
,insurance - aligned,"1,714.86"
,Insurance MO ( Liabilty),
,WSIB,
Other,cheques - costco,
,divine accountant corp,
,multivisions,
,ETSY,
,hostpapa,
,michaels,
,rack cards,
,apple,
,ACM Designs,
,IKEA,
,christina bucci - postcard,
,Glecoffs,
,shoppers drug mart,
,rexall pharmacy,
,tim hortons,
,highland pharmacy,
,roasty campfire,
,flat design,
,Dollarama,
,Thrift,
,hook line sinker,
,AMAZON,"$3,055.26"
,BEST BUY,
,embrioder -wendy,
,tim hortons,
,fire safety check report,
,fire starter quick wick,
,CANADIAN TIRE,
,WALMART,
,abbey gardens - pizza,
,DYSON alarm,
,Barry Martin,
,SHAMROCK  SERVICES,
,LCBO,
,BEER STORE,$209.85
,LIQOUR LICENCE REG,
MARKETING,Haliburton curling club,
,chambers of commerce,
,Highlander,
,snow mobile association,
,firefighter ad,
,adenture haliburton,
,Studio Tour,
,snow county Advert,
,ARTS council highland,
,cottage country ad,
,highland summer festival,
,county sign,
,ATV ASSOCIATION,
,Halibton echo,$395.50
TOTAL,,"$21,231.14"
,,
